x;y;asic
1;11;121
1;9;118
1;8;110
1;10;108
1;7;103
1;5;29
1;3;22
1;6;16
1;4;8
1;1;6
1;2;2
2;9;126
2;8;122
2;10;120
2;11;116
2;7;81
2;6;69
2;4;25
2;5;20
2;1;17
2;2;10
2;3;4
3;11;125
3;8;124
3;9;123
3;10;119
3;7;114
3;6;99
3;3;23
3;2;14
3;5;12
3;1;5
3;4;0
4;10;115
4;11;113
4;7;112
4;6;106
4;5;101
4;4;97
4;9;85
4;8;77
4;3;18
4;2;7
4;1;1
5;11;111
5;10;91
5;9;83
5;8;75
5;7;67
5;6;65
5;5;57
5;4;47
5;3;43
5;2;15
5;1;3
6;11;107
6;10;104
6;9;87
6;8;73
6;7;66
6;6;61
6;5;53
6;4;51
6;3;45
6;2;31
6;1;11
7;11;109
7;10;86
7;9;79
7;8;71
7;7;63
7;6;59
7;5;58
7;4;50
7;3;41
7;2;35
7;1;19
8;10;98
8;9;96
8;11;94
8;8;88
8;7;68
8;6;56
8;5;55
8;4;49
8;3;39
8;2;37
8;1;26
9;11;105
9;9;95
9;10;93
9;8;78
9;7;72
9;6;62
9;5;48
9;4;40
9;3;38
9;1;36
9;2;28
10;11;100
10;10;90
10;9;82
10;8;80
10;7;76
10;6;64
10;5;52
10;4;46
10;3;34
10;1;33
10;2;27
11;11;92
11;10;89
11;9;84
11;8;74
11;7;70
11;6;60
11;5;54
11;4;44
11;3;42
11;2;32
11;1;21
