,Unnamed: 0,gain_cs,x,y,gain_na,gain_finished
0,0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,0.0
2,2,0.0,0.0,2.0,0.0,0.0
3,3,0.0,0.0,3.0,0.0,0.0
4,4,0.0,0.0,4.0,0.0,0.0
5,5,0.0,0.0,5.0,0.0,0.0
6,6,0.0,0.0,6.0,0.0,0.0
7,7,0.0,0.0,7.0,0.0,0.0
8,8,0.0,0.0,8.0,0.0,0.0
9,9,0.0,0.0,9.0,0.0,0.0
10,10,0.0,0.0,10.0,0.0,0.0
11,11,0.0,0.0,11.0,0.0,0.0
12,12,0.0,1.0,0.0,0.0,0.0
13,13,2733.0,1.0,1.0,2105.0,0.24222466154409075
14,14,2739.0,1.0,2.0,2105.0,0.2416940489229646
15,15,2743.0,1.0,3.0,2115.0,0.24134159679183376
16,16,2751.0,1.0,4.0,2115.0,0.24063976735732462
17,17,2745.0,1.0,5.0,2105.0,0.24116575591985429
18,18,2747.0,1.0,6.0,2115.0,0.2409901710957408
19,19,2741.0,1.0,7.0,2115.0,0.24151769427216344
20,20,2752.0,1.0,8.0,2120.0,0.24055232558139536
21,21,2745.0,1.0,9.0,2115.0,0.24116575591985429
22,22,2735.0,1.0,10.0,2105.0,0.2420475319926874
23,23,0.0,1.0,11.0,0.0,0.0
24,24,0.0,2.0,0.0,0.0,0.0
25,25,2729.0,2.0,1.0,2105.0,0.24257969952363503
26,26,2737.0,2.0,2.0,2105.0,0.24187066130800147
27,27,2754.0,2.0,3.0,2125.0,0.2403776325344953
28,28,2737.0,2.0,4.0,2105.0,0.24187066130800147
29,29,2744.0,2.0,5.0,0.0,0.24125364431486881
30,30,2746.0,2.0,6.0,2110.0,0.24107793153678078
31,31,2741.0,2.0,7.0,2115.0,0.24151769427216344
32,32,0.0,2.0,8.0,0.0,0.0
33,33,0.0,2.0,9.0,0.0,0.0
34,34,0.0,2.0,10.0,0.0,0.0
35,35,2741.0,2.0,11.0,2115.0,0.24151769427216344
36,36,0.0,3.0,0.0,0.0,0.0
37,37,0.0,3.0,1.0,2105.0,0.0
38,38,2732.0,3.0,2.0,2115.0,0.24231332357247437
39,39,2729.0,3.0,3.0,2110.0,0.24257969952363503
40,40,2748.0,3.0,4.0,2120.0,0.24090247452692867
41,41,2755.0,3.0,5.0,2125.0,0.24029038112522685
42,42,2745.0,3.0,6.0,2125.0,0.24116575591985429
43,43,2749.0,3.0,7.0,2125.0,0.24081484176064022
44,44,0.0,3.0,8.0,0.0,0.0
45,45,0.0,3.0,9.0,0.0,0.0
46,46,2744.0,3.0,10.0,2115.0,0.24125364431486881
47,47,0.0,3.0,11.0,0.0,0.0
48,48,0.0,4.0,0.0,0.0,0.0
49,49,2742.0,4.0,1.0,2115.0,0.2414296134208607
50,50,2740.0,4.0,2.0,2115.0,0.2416058394160584
51,51,2747.0,4.0,3.0,2115.0,0.2409901710957408
52,52,2753.0,4.0,4.0,2115.0,0.24046494733018525
53,53,2750.0,4.0,5.0,2115.0,0.24072727272727273
54,54,2749.0,4.0,6.0,2115.0,0.24081484176064022
