,Anode,x,y,Cell0,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80,Cell81,Cell82,Cell83,Cell84,Cell85,Cell86,Cell87,Cell88,Cell89,Cell90,Cell91,Cell92,Cell93,Cell94,Cell95,Cell96,Cell97,Cell98,Cell99,Cell100,Cell101,Cell102,Cell103,Cell104,Cell105,Cell106,Cell107,Cell108,Cell109,Cell110,Cell111,Cell112,Cell113,Cell114,Cell115,Cell116,Cell117,Cell118,Cell119,Cell120,Cell121,Cell122,Cell123,Cell124,Cell125,Cell126,Cell127,Cell128,Cell129,Cell130,Cell131,Cell132,Cell133,Cell134,Cell135,Cell136,Cell137,Cell138,Cell139,Cell140,Cell141,Cell142,Cell143,Cell144,Cell145,Cell146,Cell147,Cell148,Cell149,Cell150,Cell151,Cell152,Cell153,Cell154,Cell155,Cell156,Cell157,Cell158,Cell159
0,0.0,255.0,255.0,5483.278205128205,5439.415384615385,5449.2,5391.0,5386.908974358975,5399.148717948718,5392.547435897436,5380.680769230769,5432.652564102564,5407.778205128205,5423.553846153846,5404.926923076923,5409.719230769231,5406.101282051282,5396.464102564102,5352.997435897436,5410.680769230769,5407.507692307692,5382.75,5373.260256410256,5369.252564102564,5411.112820512821,5432.791025641026,5388.079487179487,5377.448717948718,5333.202564102564,5425.887179487179,5374.358974358975,5387.278205128205,5383.591025641025,5395.928205128205,5327.925641025641,5349.391025641025,5359.301282051282,5390.5641025641025,5370.7307692307695,5408.638461538461,5395.307692307692,5380.675641025641,5376.065384615385,5399.369230769231,5370.6051282051285,5393.225641025641,5363.953846153846,5381.3141025641025,5373.421794871795,5364.028205128205,5316.808974358974,5358.419230769231,5368.85,5399.51282051282,5374.902564102564,5382.120512820513,5394.71282051282,5380.791025641026,5326.958974358974,5372.698717948718,5305.337179487179,5340.0205128205125,5388.226923076923,5384.260256410256,5346.684615384615,5367.965384615384,5357.874358974359,5364.944871794872,5370.907692307693,5386.153846153846,5342.117948717949,5333.289743589744,5348.0641025641025,5357.95641025641,5332.96282051282,5350.9,5352.251282051282,5344.1051282051285,5350.966666666666,5370.807692307692,5344.8961538461535,5385.217948717948,5338.617948717949,5347.917948717949,5374.942307692308,5391.201282051282,5321.610256410257,5355.029487179487,5357.991025641026,5390.234615384616,5398.04358974359,5386.633333333333,5344.976923076923,5373.957692307692,5330.375641025641,5322.620512820513,5298.9,5337.008974358974,5303.498717948718,5355.117948717949,5351.234615384616,5357.589743589743,5320.551282051282,5332.367948717949,5313.332051282051,5354.039743589744,5324.3,5352.274358974359,5329.075641025641,5338.739743589744,5327.99358974359,5370.9358974358975,5341.6448717948715,5334.746153846154,5318.203846153846,5299.460256410256,5277.453846153846,5300.971794871795,5292.552564102564,5328.582051282051,5330.551282051282,5357.989743589744,5312.782051282052,5312.465384615384,5328.897435897436,5361.955128205128,5341.6461538461535,5321.174358974359,5341.632051282051,5365.594871794872,5344.707692307692,5353.298717948718,5356.1435897435895,5369.258974358974,5335.953846153846,5333.197435897436,5346.941025641026,5337.114102564103,5300.096153846154,5335.108974358975,5292.635897435897,5311.434615384615,5330.6461538461535,5338.615384615385,5333.026923076923,5343.28717948718,5311.069230769231,5326.892307692307,5308.548717948718,5309.2294871794875,5336.594871794872,5433.878205128205,5398.141025641025,5419.319230769231,5393.003846153846,5425.869230769231,5380.197435897436,5378.983333333334,5401.862820512821,5417.875641025641,5386.402564102564,5410.830769230769,5367.6435897435895
1,1.0,0.0,0.0,5524.2880921895,5509.312419974392,5521.386683738797,5509.752880921895,5509.441741357235,5500.668373879642,5509.236875800256,5507.606914212548,5522.605633802817,5488.72343149808,5486.327784891165,5499.572343149808,5476.5761843790015,5507.658130601792,5510.596670934699,5488.8693982074265,5496.813060179257,5490.73495518566,5503.695262483995,5478.065300896287,5496.3444302176695,5471.9897567221515,5516.177976952625,5500.806658130602,5489.6171574903965,5491.076824583867,5526.929577464789,5512.971830985915,5522.330345710628,5505.154929577465,5493.793854033291,5483.769526248399,5483.133162612035,5434.12676056338,5484.220230473752,5473.70166453265,5498.638924455826,5497.777208706786,5468.69014084507,5456.704225352113,5515.432778489117,5511.250960307299,5476.081946222791,5446.883482714468,5463.847631241997,5450.409731113957,5497.329065300896,5459.5761843790015,5475.407170294494,5467.29961587708,5470.763124199744,5495.633802816901,5474.985915492958,5437.704225352113,5512.124199743918,5474.157490396927,5488.797695262484,5471.357234314981,5448.691421254802,5457.106274007682,5497.1306017925735,5464.732394366197,5459.548015364917,5436.729833546735,5461.225352112676,5439.588988476313,5445.830985915493,5419.075544174136,5442.384122919334,5490.27528809219,5501.375160051216,5428.381562099872,5451.855313700384,5432.395646606914,5462.081946222791,5473.481434058899,5460.8693982074265,5448.916773367478,5456.613316261203,5445.417413572343,5438.285531370038,5415.777208706786,5469.074263764404,5464.037131882203,5474.056338028169,5447.998719590269,5485.902688860436,5513.405889884763,5474.475032010243,5426.32138284251,5432.880921895006,5458.038412291933,5477.793854033291,5451.715749039693,5491.117797695262,5423.048655569783,5446.7874519846355,5452.8271446863,5451.40204865557,5433.928297055058,5470.230473751601,5497.7285531370035,5463.7874519846355,5414.204865556978,5454.618437900128,5436.877080665813,5455.0601792573625,5430.8693982074265,5476.284250960307,5468.39052496799,5458.14852752881,5434.83866837388,5431.254801536492,5433.967989756722,5450.85019206146,5444.985915492958,5459.891165172855,5470.862996158771,5492.688860435339,5424.125480153649,5511.419974391805,5493.950064020487,5451.327784891165,5422.268886043534,5451.487836107554,5431.0601792573625,5448.722151088348,5475.501920614597,5456.3533930857875,5438.226632522407,5480.947503201024,5431.062740076824,5457.852752880922,5412.0,5441.592829705506,5417.8847631242,5470.54033290653,5423.4737516005125,5433.975672215109,5426.29833546735,5461.316261203585,5426.941101152369,5448.725992317542,5408.4647887323945,5438.914212548016,5363.458386683738,5399.8783610755445,5465.070422535211,5515.234314980794,5476.892445582586,5514.131882202305,5486.345710627401,5515.1421254801535,5518.266325224072,5466.058898847631,5505.256081946222,5501.880921895006,5504.440460947503,5531.147247119078,5531.340588988476
2,1.0,1.0,1.0,8155.356687898089,8170.574522292994,8137.722292993631,8174.053503184713,8151.420382165605,8159.603821656051,8130.910828025478,8161.4331210191085,8164.12229299363,8149.993630573248,8122.7885350318475,8163.36050955414,8125.848407643312,8182.28025477707,8164.103184713375,8172.824203821656,8168.859872611465,8183.212738853503,8160.4866242038215,8199.417834394904,8172.9974522293,8181.729936305733,8182.87898089172,8191.4,8174.7082802547775,8167.695541401274,8157.062420382165,8202.104458598726,8168.834394904458,8212.715923566879,8199.965605095542,8219.970700636943,8183.424203821656,8185.712101910828,8185.188535031847,8191.749044585988,8181.388535031847,8200.886624203822,8183.268789808917,8174.256050955414,8196.552866242038,8219.745222929936,8167.812738853503,8183.875159235668,8194.215286624203,8227.862420382166,8195.322292993631,8185.670063694268,8179.349044585987,8205.393630573248,8181.416560509554,8204.56305732484,8198.271337579617,8188.954140127388,8133.628025477707,8217.820382165604,8214.070063694267,8262.089171974523,8194.272611464969,8208.820382165604,8213.64331210191,8194.615286624205,8210.68280254777,8225.728662420383,8175.900636942675,8206.487898089172,8200.698089171974,8235.67643312102,8224.547770700638,8184.127388535032,8195.336305732484,8214.861146496814,8203.92356687898,8195.412738853503,8188.606369426751,8225.412738853503,8185.99872611465,8226.335031847133,8237.312101910828,8207.667515923567,8166.937579617835,8203.445859872612,8180.500636942676,8201.04076433121,8188.573248407643,8208.180891719745,8191.411464968153,8222.91974522293,8182.349044585987,8206.025477707006,8211.466242038217,8208.764331210192,8238.783439490446,8248.91974522293,8207.44076433121,8230.933757961784,8200.064968152867,8209.486624203822,8187.292993630574,8261.115923566878,8193.710828025478,8210.901910828026,8207.941401273885,8232.089171974523,8195.368152866242,8208.149044585987,8232.71974522293,8246.88025477707,8180.514649681529,8243.773248407644,8248.154140127388,8228.723566878982,8233.68152866242,8211.296815286623,8220.634394904459,8244.951592356689,8208.88025477707,8247.957961783439,8256.373248407643,8246.569426751592,8218.47898089172,8255.101910828025,8228.010191082803,8230.644585987262,8183.454777070064,8249.909554140128,8187.410191082802,8232.498089171975,8226.802547770701,8210.174522292993,8211.08025477707,8232.87770700637,8200.064968152867,8226.450955414013,8217.633121019107,8260.91592356688,8226.59872611465,8230.28152866242,8217.898089171975,8229.146496815287,8207.895541401274,8239.452229299362,8213.568152866243,8244.887898089171,8247.95414012739,8259.766878980892,8220.375796178343,8169.189808917197,8160.745222929936,8171.373248407644,8177.467515923567,8140.704458598726,8149.677707006369,8164.494267515924,8168.6,8188.392356687898,8167.426751592357,8200.211464968153,8176.668789808918,8181.806369426751
3,1.0,1.0,2.0,8249.453503184714,8264.310828025478,8287.691719745222,8316.355414012738,8336.108280254777,8341.849681528662,8322.957961783439,8306.047133757962,8304.298089171974,8350.824203821656,8298.35923566879,8340.179617834396,8314.83949044586,8326.84458598726,8260.472611464967,8308.458598726114,8313.415286624204,8317.192356687898,8305.028025477706,8294.284076433121,8276.234394904459,8317.5949044586,8330.978343949044,8359.457324840765,8308.228025477707,8308.980891719746,8324.6025477707,8359.229299363058,8327.715923566879,8336.095541401273,8339.754140127388,8361.578343949044,8329.501910828025,8346.704458598726,8337.887898089171,8342.95668789809,8286.462420382166,8268.303184713375,8310.057324840764,8315.749044585988,8338.656050955415,8377.082802547771,8345.489171974523,8344.425477707005,8366.756687898089,8368.092993630573,8343.425477707005,8363.135031847134,8332.687898089172,8323.929936305733,8319.142675159235,8354.406369426752,8334.612738853502,8376.194904458598,8401.726114649682,8377.173248407644,8359.03821656051,8351.689171974522,8322.056050955414,8353.503184713376,8358.782165605095,8353.098089171974,8335.03566878981,8387.23694267516,8370.68280254777,8351.592356687897,8330.686624203821,8366.192356687898,8359.026751592357,8356.952866242038,8340.067515923567,8389.408917197452,8350.658598726115,8366.91847133758,8302.728662420383,8329.412738853503,8335.952866242038,8364.812738853503,8353.431847133757,8378.308280254778,8372.652229299363,8367.498089171975,8372.778343949045,8356.214012738854,8324.228025477707,8370.700636942674,8371.910828025477,8385.142675159235,8362.385987261147,8365.890445859872,8313.663694267516,8385.889171974522,8356.207643312102,8374.059872611466,8342.444585987261,8372.073885350319,8365.963057324841,8390.577070063695,8356.482802547771,8367.593630573248,8358.957961783439,8361.942675159236,8339.182165605096,8348.32356687898,8371.294267515923,8401.447133757962,8355.19617834395,8361.728662420383,8339.486624203822,8356.663694267516,8335.713375796178,8388.805095541402,8373.39617834395,8361.099363057325,8320.435668789809,8361.852229299364,8340.654777070064,8367.371974522293,8339.105732484077,8396.933757961784,8388.20636942675,8394.696815286625,8362.08025477707,8366.256050955413,8341.606369426752,8360.058598726115,8365.569426751592,8409.254777070064,8324.347770700637,8365.35796178344,8372.578343949044,8409.217834394905,8374.774522292993,8415.543949044586,8371.957961783439,8389.807643312102,8366.445859872612,8402.36050955414,8383.899363057324,8446.020382165605,8393.4050955414,8382.968152866242,8377.177070063693,8426.571974522292,8397.016560509554,8425.082802547771,8398.229299363058,8376.383439490446,8335.807643312102,8364.374522292994,8303.450955414013,8314.670063694268,8325.876433121019,8333.142675159235,8327.235668789808,8278.797452229299,8283.498089171975,8340.4,8309.101910828025,8338.048407643311
4,1.0,1.0,3.0,8292.151898734177,8335.625316455697,8299.76835443038,8355.810126582279,8293.886075949367,8312.978481012658,8309.50759493671,8342.235443037975,8334.940506329114,8353.024050632912,8313.941772151898,8321.862025316455,8308.2417721519,8300.462025316456,8353.307594936708,8347.33924050633,8322.484810126582,8354.517721518987,8345.70506329114,8328.20253164557,8332.035443037974,8323.86329113924,8335.427848101266,8326.26835443038,8323.220253164556,8330.016455696203,8303.60506329114,8355.381012658228,8348.069620253165,8364.964556962026,8319.754430379748,8359.291139240506,8332.462025316456,8329.884810126583,8360.708860759494,8360.06329113924,8369.422784810127,8370.784810126583,8329.193670886076,8365.798734177215,8377.226582278481,8389.087341772152,8355.188607594937,8390.327848101266,8355.155696202532,8370.335443037975,8305.011392405064,8361.672151898734,8358.996202531645,8396.024050632912,8339.69746835443,8359.146835443038,8376.851898734178,8380.96329113924,8331.19746835443,8374.844303797468,8347.587341772152,8369.56835443038,8361.755696202532,8392.927848101266,8365.579746835443,8375.40253164557,8362.558227848102,8350.54430379747,8345.053164556963,8365.324050632911,8353.111392405064,8359.648101265822,8353.022784810126,8373.360759493671,8368.146835443038,8434.653164556961,8377.83164556962,8394.917721518987,8395.151898734177,8406.93417721519,8350.27594936709,8392.655696202532,8392.592405063291,8402.675949367089,8376.918987341773,8388.472151898734,8382.869620253165,8408.553164556963,8361.416455696202,8357.054430379747,8362.588607594937,8392.977215189874,8376.250632911393,8382.577215189873,8361.974683544304,8396.732911392404,8383.326582278482,8384.125316455697,8344.321518987343,8358.840506329114,8361.324050632911,8349.001265822784,8341.732911392404,8396.537974683544,8380.981012658227,8355.13417721519,8359.273417721519,8363.917721518987,8333.102531645569,8388.649367088608,8335.158227848102,8362.891139240506,8366.951898734178,8397.620253164558,8364.208860759494,8376.97341772152,8377.920253164557,8410.89493670886,8397.79493670886,8393.582278481013,8370.916455696202,8367.510126582278,8361.979746835443,8345.79746835443,8348.653164556961,8401.084810126582,8371.270886075949,8392.562025316456,8361.764556962025,8405.45569620253,8359.292405063292,8364.637974683545,8354.458227848101,8391.416455696202,8403.740506329113,8393.187341772153,8341.17088607595,8401.521518987342,8401.937974683544,8392.887341772152,8366.792405063292,8388.56329113924,8358.848101265823,8380.646835443038,8361.003797468355,8410.917721518987,8385.426582278482,8413.549367088608,8344.95569620253,8406.762025316455,8403.918987341773,8330.911392405063,8328.736708860759,8327.12658227848,8346.121518987342,8331.313924050633,8275.391139240506,8300.020253164557,8303.425316455696,8303.70253164557,8304.745569620252,8339.413924050634,8334.930379746835,8328.16835443038
5,1.0,1.0,4.0,8239.113087674714,8313.263024142312,8299.082592121982,8298.655654383736,8277.266836086405,8288.031766200762,8287.731893265565,8305.185514612453,8302.010165184243,8289.607369758576,8286.442185514612,8316.120711562897,8285.599745870393,8353.350698856417,8320.528589580686,8307.011435832275,8279.94917407878,8285.911054637865,8287.650571791613,8342.866581956798,8287.444726810674,8328.402795425667,8324.46378653113,8348.620076238882,8314.889453621347,8293.602287166455,8322.865311308768,8323.320203303685,8291.848792884372,8341.15501905972,8315.278271918678,8321.5374841169,8348.860228716645,8343.97458703939,8323.012706480305,8319.637865311308,8321.476493011436,8346.738246505718,8295.722998729352,8317.634053367217,8293.51461245235,8335.18043202033,8283.444726810674,8343.165184243964,8292.470139771283,8326.433290978399,8280.07750952986,8338.35959339263,8323.580686149937,8331.289707750953,8287.473951715376,8332.30622617535,8297.269377382465,8357.866581956798,8358.25540025413,8336.494282083862,8309.224904701397,8350.466327827191,8319.087674714105,8349.679796696315,8304.073697585769,8326.337992376111,8329.43583227446,8341.926302414231,8358.026683608641,8318.452350698857,8276.674714104192,8336.454891994917,8340.66581956798,8338.208386277001,8287.088945362135,8356.034307496824,8339.977128335451,8355.758576874206,8311.904701397712,8328.219822109275,8357.420584498093,8343.060991105463,8340.273189326557,8364.522236340534,8347.161372299874,8345.884371029226,8292.444726810674,8349.208386277001,8355.625158831004,8392.175349428207,8366.632782719187,8381.445997458704,8341.913595933926,8311.660736975859,8334.604828462516,8365.59085133418,8372.223634053367,8398.630241423125,8342.017789072426,8383.847522236341,8346.664548919949,8366.809402795425,8388.302414231259,8368.500635324015,8344.100381194408,8364.379923761118,8331.23125794155,8364.35705209657,8357.194409148666,8347.843710292249,8342.838627700126,8374.778907242693,8359.428208386276,8340.495552731893,8327.87166454892,8384.679796696315,8335.285895806861,8299.76493011436,8343.884371029226,8374.59085133418,8324.095298602288,8361.027954256671,8326.2833545108,8310.12706480305,8312.837357052096,8362.82210927573,8337.880559085133,8321.115628970774,8298.46124523507,8354.346886912324,8335.546378653113,8382.94663278272,8343.777636594663,8356.848792884372,8311.603557814486,8364.987293519695,8350.670902160102,8357.301143583227,8350.495552731893,8354.703939008894,8350.82210927573,8362.022871664549,8350.443456162642,8378.30876747141,8331.712833545109,8405.522236340534,8365.864040660737,8393.800508259212,8382.094027954257,8405.249047013976,8387.499364675985,8361.99745870394,8298.15374841169,8310.318932655655,8294.363405336722,8321.913595933926,8317.809402795425,8286.353240152477,8303.735705209658,8275.396442185514,8226.77128335451,8288.504447268107,8295.340533672173,8283.903430749682
6,1.0,1.0,5.0,8162.319587628866,8220.920103092783,8172.75,8186.756443298969,8181.274484536082,8205.676546391753,8137.203608247422,8166.356958762886,8159.203608247422,8203.957474226803,8172.0025773195875,8186.778350515464,8185.91881443299,8156.109536082474,8145.520618556701,8220.225515463917,8174.506443298969,8195.841494845361,8167.809278350515,8213.286082474227,8190.204896907217,8205.280927835052,8170.149484536082,8186.40206185567,8208.203608247422,8213.583762886597,8198.12886597938,8213.323453608247,8175.725515463918,8197.355670103092,8152.844072164949,8192.942010309278,8202.1456185567,8190.167525773196,8177.309278350515,8216.072164948453,8200.048969072164,8210.681701030928,8210.911082474227,8235.37113402062,8180.618556701031,8220.800257731958,8209.047680412372,8227.448453608247,8188.457474226804,8242.289948453608,8185.849226804124,8243.009020618556,8199.518041237114,8221.396907216495,8192.190721649484,8224.72293814433,8228.940721649484,8258.28737113402,8233.79381443299,8259.625,8217.907216494845,8225.512886597939,8209.63530927835,8205.876288659794,8254.869845360825,8243.04381443299,8205.564432989691,8215.769329896908,8221.559278350516,8239.694587628866,8200.393041237114,8232.661082474227,8266.51675257732,8263.998711340206,8229.893041237114,8221.511597938144,8197.49355670103,8246.119845360825,8214.074742268042,8213.603092783505,8209.556701030928,8223.23969072165,8217.896907216495,8240.997422680412,8203.744845360825,8209.096649484536,8209.556701030928,8224.248711340206,8204.363402061856,8230.701030927836,8232.247422680412,8257.561855670103,8222.273195876289,8243.853092783505,8223.845360824742,8240.64175257732,8225.782216494845,8260.889175257733,8237.762886597939,8234.188144329897,8208.284793814433,8235.341494845361,8241.533505154639,8232.32087628866,8227.12886597938,8248.88530927835,8247.726804123711,8241.680412371134,8205.176546391753,8239.122422680412,8245.100515463917,8216.896907216495,8185.840206185567,8214.467783505155,8213.819587628866,8252.66881443299,8208.153350515464,8267.38144329897,8233.528350515464,8225.494845360825,8241.920103092783,8265.005154639175,8219.841494845361,8269.788659793814,8229.257731958764,8262.417525773197,8228.893041237114,8233.498711340206,8228.673969072164,8261.155927835052,8267.850515463917,8235.6043814433,8209.273195876289,8234.62113402062,8224.579896907217,8210.875,8223.947164948453,8285.87113402062,8221.659793814433,8233.382731958764,8221.725515463917,8233.875,8203.314432989691,8237.97293814433,8193.809278350516,8251.563144329897,8240.292525773197,8259.561855670103,8238.185567010309,8267.143041237114,8290.990979381444,8202.375,8161.619845360825,8192.826030927836,8220.77706185567,8186.909793814433,8122.97293814433,8188.315721649485,8195.640463917525,8210.586340206186,8152.670103092783,8198.052835051547,8177.037371134021,8232.448453608247
7,1.0,1.0,6.0,8231.60152284264,8230.937817258884,8217.536802030458,8243.152284263959,8207.18274111675,8206.418781725888,8250.348984771574,8259.408629441625,8228.04187817259,8220.463197969542,8225.488578680202,8244.52538071066,8213.455583756346,8272.096446700507,8213.988578680202,8233.091370558375,8218.545685279189,8245.352791878173,8253.039340101523,8272.57614213198,8236.143401015228,8206.60152284264,8218.143401015228,8283.511421319798,8251.295685279189,8252.873096446701,8249.605329949238,8256.955583756346,8238.786802030458,8277.380710659898,8258.345177664974,8268.350253807106,8248.953045685279,8263.068527918782,8284.175126903554,8289.484771573603,8249.536802030458,8239.765228426397,8239.47842639594,8276.51269035533,8269.569796954314,8270.02157360406,8269.147208121827,8277.296954314721,8288.701776649747,8268.831218274112,8250.098984771574,8274.057106598984,8268.223350253807,8260.888324873096,8281.643401015228,8265.887055837564,8249.624365482234,8280.340101522843,8282.873096446701,8301.14847715736,8275.27157360406,8305.643401015228,8309.918781725888,8298.767766497462,8259.426395939086,8257.917512690356,8271.214467005077,8323.823604060914,8298.058375634519,8285.120558375635,8300.413705583756,8290.526649746193,8294.565989847715,8291.342639593908,8292.281725888324,8307.095177664974,8263.69543147208,8284.114213197969,8287.57614213198,8265.081218274112,8249.465736040609,8305.77918781726,8282.126903553299,8296.73730964467,8269.722081218275,8290.908629441625,8262.657360406092,8276.736040609137,8293.761421319798,8305.365482233503,8294.624365482234,8314.077411167513,8312.034263959391,8284.33883248731,8272.82614213198,8306.573604060914,8274.604060913705,8269.48730964467,8269.717005076142,8313.75888324873,8259.19923857868,8322.069796954314,8288.459390862945,8293.868020304568,8276.678934010153,8297.656091370558,8291.244923857868,8300.581218274112,8267.135786802031,8277.888324873096,8296.77918781726,8264.354060913705,8253.082487309644,8275.651015228426,8222.9961928934,8317.194162436548,8314.375634517766,8273.489847715737,8259.251269035532,8268.374365482234,8281.294416243654,8276.308375634519,8286.751269035532,8322.732233502538,8291.119289340102,8280.618020304568,8273.565989847715,8319.761421319798,8296.772842639593,8283.248730964468,8271.406091370558,8279.582487309644,8303.586294416244,8358.4961928934,8306.738578680202,8310.74111675127,8270.559644670051,8285.10152284264,8289.354060913705,8323.57614213198,8284.814720812183,8310.475888324872,8293.559644670051,8313.26649746193,8297.644670050762,8276.687817258884,8256.486040609137,8306.251269035532,8310.342639593908,8327.653553299493,8296.383248730965,8285.343908629442,8221.912436548224,8246.045685279189,8247.096446700507,8260.138324873096,8199.644670050762,8233.281725888324,8217.376903553299,8263.685279187817,8203.134517766497,8232.32994923858,8229.837563451776,8270.123096446701
8,1.0,1.0,7.0,8243.967447916666,8276.825520833334,8289.5703125,8298.56640625,8260.87109375,8286.170572916666,8304.427083333334,8304.453125,8284.145833333334,8277.740885416666,8296.727864583334,8313.9296875,8276.653645833334,8279.966145833334,8274.748697916666,8292.122395833334,8272.11328125,8285.6015625,8322.700520833334,8281.688802083334,8276.958333333334,8273.82421875,8274.514322916666,8308.102864583334,8278.143229166666,8267.069010416666,8262.85546875,8268.145833333334,8278.591145833334,8302.2109375,8286.151041666666,8303.69921875,8276.700520833334,8303.889322916666,8297.567708333334,8309.26953125,8301.6875,8319.376302083334,8322.08984375,8291.861979166666,8310.303385416666,8303.104166666666,8289.6328125,8332.828125,8313.361979166666,8312.268229166666,8285.813802083334,8331.440104166666,8288.630208333334,8294.1953125,8284.177083333334,8307.572916666666,8291.322916666666,8352.131510416666,8315.76953125,8333.98828125,8334.8203125,8343.385416666666,8292.828125,8317.634114583334,8326.951822916666,8353.041666666666,8319.91796875,8323.845052083334,8301.588541666666,8328.15234375,8337.809895833334,8363.330729166666,8337.4140625,8352.588541666666,8335.889322916666,8321.5,8327.888020833334,8331.319010416666,8305.209635416666,8356.59375,8303.622395833334,8349.100260416666,8317.2734375,8350.69140625,8348.561197916666,8385.756510416666,8360.2109375,8333.279947916666,8334.360677083334,8327.555989583334,8320.7109375,8340.055989583334,8334.401041666666,8387.115885416666,8376.319010416666,8311.96484375,8299.567708333334,8320.446614583334,8353.54296875,8384.6875,8328.791666666666,8335.06640625,8335.67578125,8340.548177083334,8330.651041666666,8377.973958333334,8324.791666666666,8359.694010416666,8366.548177083334,8330.557291666666,8308.08984375,8364.28125,8373.546875,8380.477864583334,8326.986979166666,8374.911458333334,8351.7421875,8379.217447916666,8370.805989583334,8385.23828125,8345.8203125,8320.483072916666,8319.52734375,8374.772135416666,8355.4140625,8379.993489583334,8368.8515625,8397.515625,8354.404947916666,8351.41015625,8345.104166666666,8370.040364583334,8341.864583333334,8361.251302083334,8347.233072916666,8385.033854166666,8344.786458333334,8351.9609375,8356.390625,8408.1640625,8380.184895833334,8385.463541666666,8333.817708333334,8374.122395833334,8355.765625,8366.227864583334,8327.063802083334,8398.084635416666,8376.41015625,8376.518229166666,8346.5390625,8296.092447916666,8270.529947916666,8286.8828125,8280.580729166666,8288.885416666666,8286.490885416666,8283.3359375,8267.955729166666,8299.79296875,8265.23828125,8270.7578125,8229.235677083334,8282.091145833334
9,1.0,1.0,8.0,8307.111543450064,8330.88197146563,8334.299610894941,8334.230869001298,8280.599221789884,8313.888456549936,8334.04280155642,8340.300907911804,8322.542153047989,8313.529182879378,8285.91569390402,8322.44617380026,8347.992217898833,8329.102464332036,8325.704280155642,8335.867704280156,8338.927367055772,8330.631647211414,8343.682230869,8351.2542153048,8323.130998702984,8362.217898832685,8312.260700389104,8329.512321660182,8340.210116731518,8334.490272373541,8366.730220492866,8341.373540856031,8326.779507133593,8339.285343709469,8309.357976653697,8333.540856031128,8311.875486381323,8334.51102464332,8306.571984435797,8361.853437094682,8378.392996108949,8350.577172503243,8345.770428015565,8338.640726329442,8322.143968871595,8367.160830090792,8308.143968871595,8358.098573281453,8317.86251621271,8369.833981841764,8345.562905317769,8348.542153047989,8371.741893644617,8385.167315175097,8357.259403372243,8372.90272373541,8348.692607003892,8385.954604409857,8386.527885862517,8375.591439688716,8343.365758754864,8387.156939040207,8343.251621271076,8378.302204928665,8354.55382619974,8364.018158236056,8348.586251621271,8371.760051880674,8354.049286640726,8426.679636835279,8356.594033722438,8381.721141374837,8359.632944228275,8410.780804150454,8358.527885862517,8369.841763942932,8386.577172503243,8379.869001297016,8350.849546044099,8386.451361867705,8381.16861219196,8388.98962386511,8403.919584954605,8381.08430609598,8361.998702983139,8403.18158236057,8411.033722438391,8422.91439688716,8355.643320363164,8408.64980544747,8396.496757457848,8405.195849546044,8362.381322957199,8386.631647211414,8382.73281452659,8368.167315175097,8354.566796368354,8401.94682230869,8418.333333333334,8424.518806744487,8374.160830090792,8432.211413748379,8397.81841763943,8363.843060959793,8337.094682230869,8380.093385214008,8368.182879377431,8411.824902723736,8416.424124513618,8433.527885862517,8382.258106355383,8411.346303501945,8395.653696498055,8375.421530479896,8405.996108949417,8460.294422827497,8431.022049286641,8410.05188067445,8414.268482490272,8446.13748378729,8396.910505836577,8434.503242542152,8399.03242542153,8413.469520103761,8398.767833981841,8417.579766536965,8406.18028534371,8427.758754863813,8390.632944228275,8429.657587548638,8397.391699092088,8418.040207522698,8396.360570687419,8404.134889753566,8393.246433203632,8412.088197146562,8409.872892347601,8443.369649805447,8390.204928664072,8408.9364461738,8403.774319066148,8409.14915693904,8422.089494163423,8415.758754863813,8369.171206225681,8424.654993514916,8447.783398184176,8461.328145265888,8427.033722438391,8437.16990920882,8413.660181582361,8353.228274967574,8317.357976653697,8343.268482490272,8318.486381322957,8329.464332036316,8316.771725032426,8354.374837872892,8351.894941634242,8332.61608300908,8310.726329442283,8341.848249027238,8349.640726329442,8352.33073929961
